TRANSACTION_ID,TRANSACTION_DATE,CUSTOMER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,DISCOUNT_PERCENT
1001,2025-01-14,218,104,5,4437.33,13.48
1002,2025-05-23,201,103,4,2472.2,4.66
1003,2025-06-22,204,102,4,28467.16,25.42
1004,2025-05-16,202,108,5,9774.41,27.67
1005,2025-02-10,218,105,5,6107.56,10.85
1006,2025-04-09,203,101,2,63415.23,29.56
1007,2025-04-30,204,107,3,1922.05,25.02
1008,2025-03-25,212,106,2,1094.46,21.05
1009,2025-02-06,220,103,5,2783.3,4.9
1010,2025-07-14,209,109,2,8517.84,25.29
1011,2025-01-29,208,101,3,56720.97,1.99
1012,2025-10-18,211,104,4,4403.88,27.44
1013,2025-08-23,205,105,2,5034.33,16.84
1014,2025-05-15,219,107,5,1889.64,6.58
1015,2025-03-12,217,108,1,11919.66,25.83
1016,2025-03-20,206,107,5,1688.12,11.45
1017,2025-08-28,217,105,5,6066.11,0.34
1018,2025-02-28,218,105,3,4807.41,13.04
1019,2025-08-21,201,105,5,5900.1,15.23
1020,2025-02-24,210,109,5,7313.3,11.22
1021,2025-03-24,218,109,1,8305.38,14.66
1022,2025-02-27,212,105,2,4717.31,26.34
1023,2025-02-10,203,108,1,12675.15,15.98
1024,2025-03-06,205,108,5,9911.43,15.83
1025,2025-08-05,207,109,2,8588.11,11.97
1026,2025-07-11,215,109,4,7120.09,6.74
1027,2025-06-23,201,110,5,417.22,6.61
1028,2025-02-06,202,104,1,5117.59,25.79
1029,2025-02-06,217,104,3,4786.57,6.43
1030,2025-03-09,219,110,4,419.02,14.19
1031,2025-07-28,207,102,1,34089.83,10.63
1032,2025-07-30,215,101,1,50591.03,21.85
1033,2025-02-25,208,104,2,4600.8,4.21
1034,2025-04-04,209,108,2,12323.25,2.26
1035,2025-10-09,204,101,5,64548.5,29.07
1036,2025-05-02,206,107,4,1938.82,25.94
1037,2025-01-31,206,107,1,2241.19,7.96
1038,2025-08-21,210,107,5,2047.12,14.6
1039,2025-04-08,210,104,1,4660.85,16.27
1040,2025-06-10,202,101,5,58082.19,27.58
1041,2025-09-29,206,101,5,50942.01,5.57
1042,2025-02-04,208,107,1,2214.96,17.09
1043,2025-10-24,220,101,5,50975.7,19.72
1044,2025-10-17,217,106,3,945.36,21.49
1045,2025-05-03,209,107,2,2053.01,9.0
1046,2025-06-11,203,101,4,60680.87,16.89
1047,2025-02-21,203,109,2,8074.59,3.97
1048,2025-06-28,203,104,3,4248.98,13.15
1049,2025-10-06,210,110,5,386.1,24.51
1050,2025-06-03,204,103,3,2292.34,3.21
